"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.255724100E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.740765700E-2,9.680604935E-2,3.327369690E-3,1.446666718E-1
5.225729300E-2,1.255347729E-1,1.612901688E-2,3.270502090E-1
5.710781400E-2,6.311511993E-2,-5.366802216E-3,4.738359451E-1
6.195906400E-2,4.742026329E-2,-1.287555695E-2,6.207723618E-1
6.680942800E-2,1.080400944E-1,-2.784729004E-2,7.094354630E-1
7.165911600E-2,1.288838387E-1,-5.448627472E-2,7.919120789E-1
7.650958500E-2,1.424691677E-1,-7.987999916E-2,8.120975494E-1
8.136083500E-2,1.667525768E-1,-8.374214172E-2,7.330436707E-1
8.621125100E-2,2.414023876E-1,-7.529735565E-3,5.680990219E-1
9.106088700E-2,2.629172802E-1,2.028942108E-3,4.307022095E-1
9.591140700E-2,2.155506611E-1,1.357555389E-3,2.973947525E-1
1.007626050E-1,1.518743038E-1,2.471160889E-2,6.346130371E-2
1.056130740E-1,1.086194515E-1,4.235219955E-2,-1.720609665E-1
1.104626570E-1,8.090090752E-2,6.005430222E-2,-4.210071564E-1
1.153131780E-1,4.226374626E-2,7.861137390E-2,-6.469020844E-1
1.201644280E-1,1.964354515E-2,1.099295616E-1,-8.146934509E-1
1.250147930E-1,-6.969833374E-2,1.268577576E-1,-9.649534225E-1
1.298644800E-1,-1.166219711E-1,1.441025734E-1,-1.113080025E0
1.347149490E-1,-2.739243507E-1,1.482896805E-1,-1.178025246E0
1.395661990E-1,-3.483467102E-1,1.835842133E-1,-1.250685215E0
1.444165640E-1,-3.465321064E-1,1.800332069E-1,-1.294268608E0
1.492662510E-1,-3.380742073E-1,1.872801781E-1,-1.238939285E0
1.541167200E-1,-3.000721931E-1,1.428537369E-1,-1.138792992E0
1.589679700E-1,-2.698287964E-1,1.129598618E-1,-1.024802685E0
1.638184390E-1,-2.628810406E-1,6.198167801E-2,-9.220638275E-1
1.686680220E-1,-2.412467003E-1,6.532192230E-3,-7.927198410E-1
1.735185430E-1,-2.189660072E-1,-1.644945145E-2,-6.741170883E-1
1.783697410E-1,-2.190446854E-1,-5.933475494E-2,-6.092424393E-1
1.832202100E-1,-2.126708031E-1,-5.684471130E-2,-4.501581192E-1
1.880697930E-1,-1.834788322E-1,-6.393718719E-2,-3.382987976E-1
1.929203140E-1,-1.481456757E-1,-1.036987305E-1,-2.601718903E-1
1.977715640E-1,-1.296665668E-1,-1.148872375E-1,-2.051715851E-1
2.026219280E-1,-8.094906807E-2,-1.334123611E-1,-1.514635086E-1
2.074716160E-1,-3.775691986E-2,-1.335244179E-1,-1.175403595E-1
2.123220850E-1,-3.009724617E-2,-1.251554489E-1,-9.341716766E-2
2.171733350E-1,-1.760172844E-2,-1.246366501E-1,-1.022367477E-1
2.220238030E-1,-1.426029205E-2,-1.060619354E-1,-8.951663971E-2
2.268733870E-1,-1.968169212E-2,-6.529998779E-2,-8.135223389E-2
2.317239070E-1,-6.189632416E-2,-1.907014847E-2,-9.875488281E-2
2.365751050E-1,-1.028666496E-1,2.308845520E-3,-1.365633011E-1
2.414255740E-1,-1.194477081E-1,1.791954041E-3,-1.756887436E-1
2.462751570E-1,-1.263816357E-1,1.050853729E-2,-2.139453888E-1
2.511256780E-1,-1.121437550E-1,7.402420044E-3,-2.350921631E-1
2.559769280E-1,-1.123776436E-1,9.288311005E-3,-2.911319733E-1
2.608272930E-1,-1.011555195E-1,1.863765717E-2,-3.604373932E-1
2.656769800E-1,-1.278870106E-1,-9.236335754E-3,-3.888778687E-1
2.705274490E-1,-1.429793835E-1,-6.928443909E-4,-4.150686264E-1
2.753786990E-1,-1.535665989E-1,2.230358124E-2,-4.366168976E-1
