"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.749416700E-2,6.498320490E1,2.552033630E1,1.622190983E1,NaN,NaN,9.332600403E1,1.097220039E1
1.120470469E0,6.498281421E1,2.552076324E1,1.697620358E1,5.500000119E-1,2.441999969E2,8.033653259E0,9.639673233E0
1.848664114E0,6.498281427E1,2.552075122E1,2.051484047E1,5.400000215E-1,2.441999969E2,6.469468594E0,9.296162605E0
2.850384635E0,6.498284499E1,2.552064852E1,1.646587116E1,0.000000000E0,NaN,4.224595070E0,6.456015587E0
3.853591249E0,6.498287310E1,2.552062250E1,1.291597381E1,9.499999881E-1,7.219999695E1,3.790092468E0,4.599042892E0
4.849197134E0,6.498287851E1,2.552061153E1,1.693380253E1,1.070000052E0,7.259999847E1,3.790092468E0,4.045885086E0
5.851969738E0,6.498288205E1,2.552062503E1,1.543838166E1,1.360000014E0,8.869999695E1,3.790092468E0,3.264021873E0
6.851525779E0,6.498287820E1,2.552065842E1,1.510280242E1,1.289999962E0,9.740000153E1,3.790092468E0,2.689628363E0
7.850264789E0,6.498287933E1,2.552067361E1,1.327504268E1,1.299999952E0,9.740000153E1,3.790092468E0,2.500000000E0
8.852054997E0,6.498287775E1,2.552069282E1,1.453321740E1,1.440000057E0,9.740000153E1,3.790092468E0,2.500000000E0
9.854670534E0,6.498287474E1,2.552071264E1,1.404255039E1,1.379999995E0,9.740000153E1,3.790092468E0,2.500000000E0
1.085467147E1,6.498286975E1,2.552073601E1,1.384704709E1,1.460000038E0,9.740000153E1,3.790092468E0,2.500000000E0
1.185467132E1,6.498286485E1,2.552075679E1,1.411675418E1,1.419999957E0,9.730000305E1,3.790092468E0,2.500000000E0
1.285467069E1,6.498285907E1,2.552077802E1,1.349034224E1,1.549999952E0,1.196999969E2,3.790092468E0,2.500000000E0
1.385467116E1,6.498285184E1,2.552080050E1,1.345371150E1,1.600000024E0,1.259000015E2,3.790092468E0,2.500000000E0
1.485467007E1,6.498284523E1,2.552082239E1,1.319930798E1,1.509999990E0,1.286999969E2,3.790092468E0,2.500000000E0
1.585425531E1,6.498284016E1,2.552084214E1,1.296370499E1,1.509999990E0,1.205999985E2,3.790092468E0,2.500000000E0
1.685135479E1,6.498283281E1,2.552086461E1,1.270020646E1,1.509999990E0,1.306999969E2,3.790092468E0,2.500000000E0
1.785407546E1,6.498282265E1,2.552088513E1,1.244598294E1,1.669999957E0,1.401000061E2,3.790092468E0,2.500000000E0
